idnInmate	Strcity	Strcode	Strdescription	datCreatedOn	datModifiedOn	blnActive
2280	ELZ	EDG	EDGECOMBE                                         	2005-03-05 14:50:58.890		1
2281	ELZ	EDN	EDNA MAHON CORR. FACILITY                         	2005-03-05 14:50:58.890		1
2282	ELZ	ELM	ELMIRA                                            	2005-03-05 14:50:58.890		1
2283	ELZ	FIS	FISKILL                                           	2005-03-05 14:50:58.890		1
2284	ELZ	FRA	FRANKLIN CORRECTIONAL FACILITY                    	2005-03-05 14:50:58.890		1
2285	ELZ	FUL	FULTON                                            	2005-03-05 14:50:58.890		1
2286	ELZ	GAB	CAMP GABRIELS                                     	2005-03-05 14:50:58.890		1
2287	ELZ	GEO	CAMP GEORGETOWN                                   	2005-03-05 14:50:58.890		1
2288	ELZ	GHN	GREEN HAVEN                                       	2005-03-05 14:50:58.890		1
2289	ELZ	GMW	GREAT MEADOW CORRECTIONAL FACILITY                	2005-03-05 14:50:58.890		1
2290	ELZ	GOU	GOUVERNEUR CORRECTIONAL FACILITY                  	2005-03-05 14:50:58.890		1
2291	ELZ	GRE	GREENE                                            	2005-03-05 14:50:58.890		1
2292	ELZ	GRO	GROVELAND CORRECTIONAL FACILITY                   	2005-03-05 14:50:58.890		1
4346	ELZ	HCJ	HUDSON COUNTY JAIL                                	2005-03-05 14:50:58.890	2009-08-09 00:02:00.000	1
2293	ELZ	HUD	HUDSON                                            	2005-03-05 14:50:58.890		1
2294	ELZ	JMS	JUVENILE MEDIUM SECURITY FACILITY, BORDENTOWN     	2005-03-05 14:50:58.890		1
2295	ELZ	LIN	LINCOLN                                           	2005-03-05 14:50:58.890		1
2296	ELZ	LKV	LAKEVIEW CORRECTIONAL FACILITY                    	2005-03-05 14:50:58.890		1
2297	ELZ	LSA	LSP ANCORA UNIT, HAMMONTON                        	2005-03-05 14:50:58.890		1
2298	ELZ	LSF	LSP MINIMUM SECURITY UNIT, LEESBURG               	2005-03-05 14:50:58.890		1
2299	ELZ	LSP	NJ STATE PRISON, LEESBURG                         	2005-03-05 14:50:58.890		1
2300	ELZ	LYO	LYONS MOUNTAIN CORRECTIONAL FACILITY              	2005-03-05 14:50:58.890		1
4347	ELZ	MCC	MONMOUTH COUNTY JAIL                              	2005-03-05 14:50:58.890	2009-08-09 00:02:00.000	1
4348	ELZ	MCJ	MIDDLESEX COUNTY JAIL                             	2005-03-05 14:50:58.890	2009-08-09 00:02:00.000	1
2301	ELZ	MMG	MOUNT MCGREGOR CORRECTIONAL FACILITY              	2005-03-05 14:50:58.890		1
2302	ELZ	MOE	MID-ORANGE                                        	2005-03-05 14:50:58.890		1
2303	ELZ	MON	CAMP MONTEREY                                     	2005-03-05 14:50:58.890		1
2304	ELZ	MOR	MORIAH SHOCK INCARCERATION FACILITY               	2005-03-05 14:50:58.890		1
2305	ELZ	MSC	MID-STATE CORRECTIONAL FACILITY, WRIGHTSTOWN      	2005-03-05 14:50:58.890		1
2306	ELZ	MST	MIDSTATE                                          	2005-03-05 14:50:58.890		1
2307	ELZ	MYC	MOUNTAINVIEW YOUTH CORR. FACILITY                 	2005-03-05 14:50:58.890		1
2308	ELZ	NSP	NORTHERN STATE PRISON, NEWARK                     	2005-03-05 14:50:58.890		1
2309	ELZ	NYC	NYC CORRECT'L INST'N FOR WOMEN--ROSE M. SINGER BDG	2005-03-05 14:50:58.890		1
2310	ELZ	OGB	OGDENSBURG CORRECTIONAL FACILITY                  	2005-03-05 14:50:58.890		1
2311	ELZ	ONE	ONEIDA CORRECTIONAL FACILITY                      	2005-03-05 14:50:58.890		1
2312	ELZ	ORL	ORLEANS                                           	2005-03-05 14:50:58.890		1
2313	ELZ	OTI	OTISVILLE                                         	2005-03-05 14:50:58.890		1
2314	ELZ	PAR	PARKSIDE                                          	2005-03-05 14:50:58.890		1
2315	ELZ	PAS	PASSAIC COUNTY JAIL                               	2005-03-05 14:50:58.890		1
2316	ELZ	PHA	CAMP PHARSALIA                                    	2005-03-05 14:50:58.890		1
2317	ELZ	QUE	QUEENSBORO                                        	2005-03-05 14:50:58.890		1
2318	ELZ	RFC	RIVERFRONT CORRECTIONAL FACILITY                  	2005-03-05 14:50:58.890		1
2319	ELZ	RIK	RIKERS                                            	2005-03-05 14:50:58.890		1
4349	ELZ	RIS	RIKERS ISLAND GMDC                                	2005-03-05 14:50:58.890	2009-08-09 00:02:00.000	1
2320	ELZ	ROC	ROCHESTER                                         	2005-03-05 14:50:58.890		1
2321	ELZ	RSB	RSP RAHWAY CAMP                                   	2005-03-05 14:50:58.890		1
2322	ELZ	RSM	RSP MARLBORO CAMP                                 	2005-03-05 14:50:58.890		1
2323	ELZ	RSP	NJ STATE PRISON, RAHWAY                           	2005-03-05 14:50:58.890		1
2324	ELZ	RVW	RIVERVIEW CORRECTIONAL FACILITY                   	2005-03-05 14:50:58.890		1
4350	ELZ	SCJ	SUSSEX COUNTY JAIL                                	2005-03-05 14:50:58.890	2009-08-09 00:02:00.000	1
2325	ELZ	SHA	SHAWANGUNK                                        	2005-03-05 14:50:58.890		1
2326	ELZ	SIN	SING SING                                         	2005-03-05 14:50:58.890		1
2327	ELZ	SSC	SOUTHERN STATE CORRECTIONAL FACILITY, DELMONT     	2005-03-05 14:50:58.890		1
2328	ELZ	SUL	SULLIVAN                                          	2005-03-05 14:50:58.890		1
2329	ELZ	SUM	CAMP SUMMIT                                       	2005-03-05 14:50:58.890		1
4351	ELZ	SWO	SOUTHWOODS STATE PRISON                           	2005-03-05 14:50:58.890	2009-08-09 00:02:00.000	1
2330	ELZ	TAC	TACONIC                                           	2005-03-05 14:50:58.890		1
2331	ELZ	TSJ	TRAINING SCHOOL FOR BOYS, JAMESBURG               	2005-03-05 14:50:58.890		1
2332	ELZ	TSP	NJ STATE PRISON, TRENTON                          	2005-03-05 14:50:58.890		1
2333	ELZ	TSR	TSP VROOM READJUSTMENT UNIT, WEST TRENTON         	2005-03-05 14:50:58.890		1
2334	ELZ	TSS	TRAINING SCHOOL FOR BOYS, SKILLMAN                	2005-03-05 14:50:58.890		1
2335	ELZ	ULS	ULSTER                                            	2005-03-05 14:50:58.890		1
2336	ELZ	WAL	WALLKILL                                          	2005-03-05 14:50:58.890		1
2337	ELZ	WAS	WASHINGTON CORRECTIONAL FACILITY                  	2005-03-05 14:50:58.890		1
2338	ELZ	WAT	WATERTOWN CORRECTIONAL FACILITY                   	2005-03-05 14:50:58.890		1
2339	ELZ	WEN	WENDE                                             	2005-03-05 14:50:58.890		1
2340	ELZ	WOO	WOODBOURNE                                        	2005-03-05 14:50:58.890		1
2341	ELZ	WYO	WYOMING                                           	2005-03-05 14:50:58.890		1
2342	ELZ	YCA	YOUTH CORRECTIONAL INSTITUTION, ANNANDALE         	2005-03-05 14:50:58.890		1
2343	ELZ	YCB	YOUTH CORRECTIONAL INSTITUTION, BORDENTOWN        	2005-03-05 14:50:58.890		1
2344	ELZ	YCH	YCIA, HIGH POINT UNIT                             	2005-03-05 14:50:58.890		1
2345	ELZ	YCK	YCIB, SKILLMAN UNIT                               	2005-03-05 14:50:58.890		1
2346	ELZ	YCN	YCIB, NEW LISBON UNIT                             	2005-03-05 14:50:58.890		1
2347	ELZ	YCS	YCIA, STOKES FOREST UNIT                          	2005-03-05 14:50:58.890		1
2348	ELZ	YRC	YOUTH RECEPTION 7 CORRECTION CENTER, YARDVILLE    	2005-03-05 14:50:58.890		1
2349	ELZ	YRP	YRCC PRISON RECEPTION UNIT, YARDVILLE             	2005-03-05 14:50:58.890		1
2350	ELZ	YRW	YRCC, WHARTON TRACT UNIT, VINCENTOWN              	2005-03-05 14:50:58.890		1
2351	ELZ	YRY	YRCC YOUTH RECEPTION UNIT, YARDVILLE              	2005-03-05 14:50:58.890		1
2352	HAR	BDG	BRIDGEPORT CORRECTIONAL CENTER                    	2005-03-05 14:50:58.890		1
2353	HAR	BDP	CONNECTICUT CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
2354	HAR	BIL	BILLERICA HOUSE OF CORRECTION                     	2005-03-05 14:50:58.890		1
2355	HAR	BOS	SOUTH BAY HOUSE OF CORRECTIONS                    	2005-03-05 14:50:58.890		1
2356	HAR	BOY	WORCESTER HOUSE OF CORRECTION                     	2005-03-05 14:50:58.890		1
2357	HAR	BRD	OLD COLONY CORRECTION CENTER                      	2005-03-05 14:50:58.890		1
2358	HAR	BRI	SOUTHEASTERN CORRECTIONAL CENTER                  	2005-03-05 14:50:58.890		1
2359	HAR	BRO	BROOKLYN CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
2360	HAR	BRP	COMMUNITY CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2361	HAR	BRW	SOUTHEASTERN CORRECTIONAL CENTER                  	2005-03-05 14:50:58.890		1
2362	HAR	CAR	M.C.I. PLYMOUTH                                   	2005-03-05 14:50:58.890		1
2363	HAR	CAV	MASSACHUSETTS CORRECTIONAL INSTITUTION            	2005-03-05 14:50:58.890		1
2364	HAR	CHE	CHESHIRE COMMUNITY CORRECTIONAL CENTER            	2005-03-05 14:50:58.890		1
2365	HAR	CHS	J.R. MASON YI                                     	2005-03-05 14:50:58.890		1
2366	HAR	CNC	NEW HAMPSHIRE STATE PRISON                        	2005-03-05 14:50:58.890		1
2367	HAR	CND	NORTHEASTERN CORRECTIONAL CENTER                  	2005-03-05 14:50:58.890		1
2368	HAR	COD	MASSACHUSETTS CORRECTIONAL INSTTITUTION           	2005-03-05 14:50:58.890		1
2369	HAR	CON	MASSACHUSETTS CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
653	HAR	COR	CORRIGAN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
2370	HAR	CRA	ADULT CORRECTIONAL INSTITUTE                      	2005-03-05 14:50:58.890		1
2371	HAR	CRE	CONNECTICUT CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
2372	HAR	CSE	WEBSTER CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
2373	HAR	CYB	CYBULSKI CORRECTION INSTITUTE                     	2005-03-05 14:50:58.890		1
2374	HAR	DAN	FEDERAL CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
2375	HAR	DAR	BRISTOL COUNTY HOUSE OF CORRECTION                	2005-03-05 14:50:58.890		1
2376	HAR	DED	NORFOLK COUNTY HOUSE OF CORRECTIONS               	2005-03-05 14:50:58.890		1
2377	HAR	EFD	COMMUNITY CORRECTIONAL INSTITUTION-ENFIELD        	2005-03-05 14:50:58.890		1
2378	HAR	EID	ENFIELD CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
2379	HAR	ELD	CONNECTICUT CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
2380	HAR	END	WILLARD CORRECTIONAL INSTITUTE                    	2005-03-05 14:50:58.890		1
2381	HAR	ENF	CARL ROBINSON CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2382	HAR	ENI	ENFIELD CONNECTICUT CORRECTIONAL INSTITUTE        	2005-03-05 14:50:58.890		1
2383	HAR	FRA	MASSACHUSETTS CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2384	HAR	FRM	SOUTH MIDDLESEX PRE RELEASE CENTER                	2005-03-05 14:50:58.890		1
2385	HAR	GAR	NORTH CENTRAL CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2386	HAR	GOF	HILLSBOROUGH COUNTY HOUSE OF CORRECTIONS          	2005-03-05 14:50:58.890		1
2387	HAR	GRN	GARNER CORRECTIONAL INSTITUTION                   	2005-03-05 14:50:58.890		1
2388	HAR	HAR	HARTFORD CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
2389	HAR	HAT	COMMUNITY CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2390	HAR	HAV	COMMUNITY CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2391	HAR	LAN	 M.C.I.-LANCASTER   LANCASTER PRE RELEASE CENTER  	2005-03-05 14:50:58.890		1
2392	HAR	LIT	COMMUNITY CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2393	HAR	LUD	HAMPDEN COUNTY CORRECTIONAL CENTER                	2005-03-05 14:50:58.890		1
2394	HAR	MDD	MIDDLETON HOUSE OF CORRECTIONS                    	2005-03-05 14:50:58.890		1
2395	HAR	MID	ESSEX COUNTY HOUSE OF CORRECTION                  	2005-03-05 14:50:58.890		1
2396	HAR	NCI	NORTHERN CORRECTIONAL INSTITUTION                 	2005-03-05 14:50:58.890		1
2397	HAR	NEH	NEW HAVEN CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2398	HAR	NEW	CROSSROADS HALFWAY HOUSE                          	2005-03-05 14:50:58.890		1
2399	HAR	NIA	NIANTIC CORRECTIONAL INSTITUTE                    	2005-03-05 14:50:58.890		1
2400	HAR	NIN	YORK CORRECTIONAL INSTITUTION                     	2005-03-05 14:50:58.890		1
2401	HAR	NOF	BAYSTATE CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
2402	HAR	NOR	MASSACHUSETTS CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2403	HAR	NOW	NORWALK ECONOMICAL OPPORTUNITY-PTI                	2005-03-05 14:50:58.890		1
2404	HAR	NRF	PONDVILLE CORRECTIONAL FACILITY                   	2005-03-05 14:50:58.890		1
2405	HAR	NRT	HAMPSHIRE COUNTY HOUSE OF CORRECTION              	2005-03-05 14:50:58.890		1
2406	HAR	NTC	J.B. GATES CORRECTIONAL UNIT                      	2005-03-05 14:50:58.890		1
2407	HAR	PLY	PLYMOUTH HOUSE OF CORRECTION                      	2005-03-05 14:50:58.890		1
2408	HAR	RAD	RADGOWSKI CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2409	HAR	RAY	RAYBROOK                                          	2005-03-05 14:50:58.890		1
2410	HAR	SHI	MASSACHUSETTS CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2411	HAR	SMR	CONNECTICUT CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		1
654	HAR	SOM	OSBOURN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
2412	HAR	STO	NORTHEAST CORRECTIONAL INSTITUTION                	2005-03-05 14:50:58.890		1
2413	HAR	SUF	MACDOUGALL CORRECTIONAL INSTITUTION               	2005-03-05 14:50:58.890		1
2414	HAR	THO	MAINE STATE PRISON                                	2005-03-05 14:50:58.890		1
2415	HAR	UNC	MONTVILLE CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		1
2416	HAR	WAL	MASSACHUSETTS CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2417	HAR	WAR	MASSACHUSETTS CORRECTIONAL INSTITUTE              	2005-03-05 14:50:58.890		1
2418	HAR	WES	WESTERN SUBSTANCE ABUSE CENTER                    	2005-03-05 14:50:58.890		1
2419	HAR	WIN	SUFFOLK COUNTY HOUSE OF CORRECTION                	2005-03-05 14:50:58.890		1
2420	HAR	WLK	WALKER RECEPTION CENTER                           	2005-03-05 14:50:58.890		1
655	HLG	AIR	BIG SPRING CORRECTIONAL CENTER #2 (AIRPARK)	2003-08-10 11:23:16.927		1
656	HLG	BIG	FEDERAL CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		1
657	HLG	EDN	EDEN DETENTION CENTER	2003-08-10 11:23:16.927		1
658	HLG	INT	INTERSTATE UNIT	2003-08-10 11:23:16.927		1
659	HLG	PEC	REEVES COUNTY LAW ENFORCEMENT CENTER	2003-08-10 11:23:16.927		1
4639	HOD	30D	IMMIRGATION COURT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4640	HOD	ACC	ALGOA CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	0
4641	HOD	ALG	ALGOA CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	0
4642	HOD	BC	BILL CLEMENS UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4643	HOD	BCC	BOONEVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	0
4644	HOD	BCF	BOONEVILLE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4645	HOD	BE2	BETO II	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4646	HOD	BET	BETO I UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4647	HOD	BM	MOORE	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4648	HOD	BOL	J.H. LILLEY CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4649	HOD	BOY	BOYD	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4650	HOD	BR	BRIDGEPORT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4651	HOD	BRI	BRISCOE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4652	HOD	BYD	BOYD UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4653	HOD	CCC	CROSSROADS CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	0
4654	HOD	CCF	CIMARRON CORRECTIONAL FACILITY                    	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4655	HOD	CEN	CENTRAL UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4656	HOD	CHI	CHILLICOTHE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4657	HOD	CLE	CLEMENS UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4658	HOD	CLM	(BILL) CLEMENTS UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4659	HOD	CMC	CENTRAL MISSOURI CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4660	HOD	COC	CENTRAL OKLAHOMA CORRECTIONAL FACILITY            	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4661	HOD	COF	COFFIELD UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4662	HOD	CV	CLEVELAND CCA	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4663	HOD	CYC	CONNALLY UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4664	HOD	DAR	DARRINGTON UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4665	HOD	DCC	DICK CONNER CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4666	HOD	DCF	DIAMONDBACK CORRECTIONAL FACILITY                 	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4667	HOD	DH	DALHART	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4668	HOD	DL	DANIEL UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4669	HOD	DO	DIBOLL	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4670	HOD	DU	DIAGNOSTIC UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4671	HOD	E1	ELLIS I UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4672	HOD	EAS	EASTHAM  UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4673	HOD	ECC	EASTERN CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4674	HOD	EDI	EDINBURG	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4675	HOD	ELL	ELL(II)	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4676	HOD	ELR	WARDEN	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4677	HOD	FAR	FARMINGTON CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4678	HOD	FCC	FARMINGTON CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	0
4679	HOD	FDC	FULTON RECEPTION / DIAGNOSTIC / CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4680	HOD	FER	FERGUSON UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4681	HOD	FRC	FULTON RECEPTION CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4682	HOD	GL	GIBB LEWIS UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4683	HOD	GPC	GREAT PLAINS CORRECTIONAL FACILITY                	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4684	HOD	GR	GOREE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4685	HOD	GUR	GURNEY UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4686	HOD	GV	GATESVILLE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4687	HOD	HB	HOBBY UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4688	HOD	HG	TDC HOSPITAL/GALVESTON	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4689	HOD	HI	HIGHTOWER UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4690	HOD	HT	HILLTOP UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4691	HOD	HUG	HUGHES UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4692	HOD	HUN	HUNTSVILLE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4693	HOD	JA	ALRED UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4694	HOD	JAM	JAMES CRABTREE CORRECTIONAL CENTER                	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4695	HOD	JCC	JEFFERSON CITY CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4696	HOD	JE1	JESTER ONE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4697	HOD	JE2	JESTER TWO UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4698	HOD	JE3	JESTER THREE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4699	HOD	JE4	JESTER IV UNIT (MENTAL HEALTH)	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4700	HOD	JHC	JOSEPH HARP CORRECTION CENTER                     	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4701	HOD	JOR	JORDAN UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4702	HOD	JT	JOHNSTON UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4703	HOD	KY	KYLE	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4704	HOD	LAW	LAWTON CORRECTIONAL FACILITY                      	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4705	HOD	LCC	LEXINGTON CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4706	HOD	LEX	LEXINGTON ASSESSMENT & RECEPTION CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4707	HOD	LH	LYNAUGH	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4708	HOD	LSJ	LYCHNER STATE JAIL	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4709	HOD	LYN	LYNAUGH UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4710	HOD	MAC	MACK ALFORD CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4711	HOD	MAM	MARY ANN MOHAN - TEMP. NOT IN TDC	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4712	HOD	MBC	MABEL BASSETT CORRECTIONAL CENTER                 	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4713	HOD	MCC	MCCONNELL UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4714	HOD	MCO	MC CONNELL	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4715	HOD	MEC	MISSOURI EASTERN CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4716	HOD	MIC	MICHAEL UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4717	HOD	MOB	MOBERLY CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4718	HOD	MOC	MISSOURI DEPARTMENT OF CORRECTIONS	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4719	HOD	MSP	MISSOURI STATE PENITENTIARY	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4720	HOD	MTC	MISSOURI TRAINING CENTER FOR MEN	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4721	HOD	MV	MOUNTAIN VIEW UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4722	HOD	N1	MARLIN UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4723	HOD	OCJ	OKLAHOMA CITY JAIL                                	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4724	HOD	ODC	OKLAHOMA DEPARTMENT OF CORRECTION                 	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4725	HOD	OSP	OKLAHOMA STATE PENITENTIARY                       	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4726	HOD	OSR	OKLAHOMA STATE REFORMATORY                        	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4727	HOD	PA1	PACK ONE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4728	HOD	PA2	PACK TWO UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4729	HOD	RA1	RAMSEY ONE	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4730	HOD	RA2	RAMSEY TWO	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4731	HOD	RA3	RAMSEY 111	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4732	HOD	RBD	R.B. DICK CONNER CORRECTIONAL CENTER              	2005-03-05 14:50:58.890	2010-09-16 00:02:00.000	1
4733	HOD	RDC	RECEPTION DIAGNOSTIC CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	0
4734	HOD	REN	RENZ CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4735	HOD	RET	RETRIEVE UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4736	HOD	ROA	ROACH UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4737	HOD	ROB	ROBERTSON UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4738	HOD	SMI	SMITH UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4739	HOD	STE	WARDEN MACK ALFORD CORRECTIONAL CENTER	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4740	HOD	STI	STILES UNIT	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4741	HOD	STV	STEVENSON	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4742	HOD	SV	SKYVIEW UNIT   (STATE HOSPITAL IN CHEROKEE COUNTY)	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
4743	HOD	TDW	TEXAS WAIVER CASES	2003-08-10 11:23:16.927	2010-09-16 00:02:00.000	1
